2024-11-20 08:14:12,835 - INFO - Started Telegram Scraping Process.
2024-11-20 08:14:14,337 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-20 08:14:16,576 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:14,859 - INFO - Phone migrated to 4
2024-11-20 08:15:14,965 - INFO - Reconnecting to new data center 4
2024-11-20 08:15:15,737 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-20 08:15:15,738 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:15,739 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-20 08:15:18,301 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-20 08:15:33,622 - INFO - Successfully connected to Telegram.
2024-11-20 08:15:34,246 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:34,605 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:34,859 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:35,097 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:35,346 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:35,500 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:35,625 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:35,871 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:36,114 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:36,387 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:36,638 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:36,966 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:15:37,319 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
